x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s)
2.68827055,-16.853111,-0.13900757,06-10-2017 12:28:58,Walk,8.53336791708,0
1.2101135,-14.675644,1.3379669,06-10-2017 12:28:59,Walk,22.1791654053,14.7861102702
7.7640533,-11.993286,-5.5102997,06-10-2017 12:29:00,Walk,37.7553588407,30.0989426505
8.0129015,-12.2780305,-0.80062103,06-10-2017 12:29:01,Walk,52.1238067646,44.7821853932
-4.33644865,-16.309937,-0.167121875,06-10-2017 12:29:07,Walk,70.0982912057,61.6595892682
2.12715915,-15.170952,-4.98148345,06-10-2017 12:29:08,Walk,85.8229908912,77.7685236836
-1.44532775,-15.4293825,0.08113098,06-10-2017 12:29:09,Walk,101.014236137,93.2656653191
-3.364975,-16.025192,-0.35256958,06-10-2017 12:29:10,Walk,117.833363961,109.64413108
-3.95539855,-16.2788235,1.019722,06-10-2017 12:29:16,Walk,134.819346803,126.427608229
-2.9246826,-15.021408,-1.0740051,06-10-2017 12:29:17,Walk,149.439287775,141.768727926
-1.32987215,-14.4040525,0.87854003,06-10-2017 12:29:18,Walk,163.50667912,156.260695389
-1.462677,-19.990097,-4.316284,06-10-2017 12:29:19,Walk,187.015221019,176.763712475
-1.1037445,-33.45691,-9.636719,06-10-2017 12:29:49,Walk,229.015614081,211.598313546
2.2892761,-17.49678,0.70983887,06-10-2017 12:33:55,Walk,8.83009012768,0
2.0595627,-15.630966,-1.9940491,06-10-2017 13:08:56,Walk,7.94583426113,0
0.561653125,-16.9823225,-2.68676755,06-10-2017 13:08:57,Walk,25.8040746024,17.2027164016
1.64499665,-15.0243915,-0.80181885,06-10-2017 13:08:58,Walk,39.9058626953,32.3381472641
1.5654373,-16.288994,-0.645088195,06-10-2017 13:08:59,Walk,56.9032776538,48.7149008572
0.0053253174,-15.153,1.9325714,06-10-2017 13:09:00,Walk,71.6285126752,63.9906420692
6.0747223,-14.871857,1.6334686,06-10-2017 13:09:05,Walk,88.2119313199,80.1381682363
1.442215,-15.633957,-2.6125946,06-10-2017 13:09:06,Walk,104.01250705,96.0543941121
1.8573608,-15.062073,-1.5477753,06-10-2017 13:09:07,Walk,118.936717886,111.309276628
2.1708298,-15.1344605,-0.30710602,06-10-2017 13:09:08,Walk,134.247936118,126.601716288
-4.0911865,-14.652908,0.77804565,06-10-2017 13:09:09,Walk,149.451540542,141.834932458
2.9532776,-16.186707,-0.67678833,06-10-2017 13:09:14,Walk,166.536675163,158.302760928
1.4864807,-15.02858,-0.31188965,06-10-2017 13:09:15,Walk,180.960464097,173.407896374
1.5989456,-15.3468245,-1.597435,06-10-2017 13:09:16,Walk,196.676442905,188.920260728
1.8501892,-16.366165,0.46936035,06-10-2017 13:09:17,Walk,213.635912167,205.397361687
