x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
18.43901,-4.7352448,9.246841,04-09-2017 07:31:18,Dummy shake,10.5821040155,0,21.1642080309
11.781296,10.761856,6.4777374,04-09-2017 07:31:19,Dummy shake,25.8321411058,17.2214274039,17.2214274039
12.652283,7.7427063,9.042847,04-09-2017 07:31:20,Dummy shake,43.2801381857,34.5939012584,17.3724738545
8.655075,-6.3209456,4.82100675,04-09-2017 07:31:24,Dummy shake,52.2217275818,46.345785474,11.7518842156
3.593956,-5.17269115,8.8298875,04-09-2017 07:31:25,Dummy shake,62.6150932384,57.1919906503,10.8462051763
17.330551,-7.748413,-0.78567505,04-09-2017 07:31:29,Dummy shake,85.6921164632,76.1920745255,19.0000838752
16.205933,-2.3837128,-2.7717133,04-09-2017 07:31:30,Dummy shake,101.111799201,92.8052243091,16.6131497836
7.2232666,10.469345,7.170471,04-09-2017 07:31:35,Dummy shake,114.707197823,107.406539985,14.6013156758
7.360855,-5.760582,21.0625915,04-09-2017 07:31:36,Dummy shake,141.971671505,130.449960998,23.0434210135
5.88089755,-6.2822114,13.6789475,04-09-2017 07:31:37,Dummy shake,154.690849323,146.610553215,16.1605922161
13.594757,-0.57472991,-9.1073075,04-09-2017 07:31:39,Dummy shake,171.170770235,162.984031228,16.3734780135
11.136734,0.11199951,13.857208,04-09-2017 07:31:40,Dummy shake,189.651213375,180.76215266,17.7781214315
13.089279,0.43504333,-6.583481,04-09-2017 07:31:41,Dummy shake,202.749344304,195.420280423,14.658127763
13.95668,0.475708,-10.83194,04-09-2017 07:31:42,Dummy shake,221.930256139,213.093597567,17.6733171444
12.53653,-0.7482147,-11.474411,04-09-2017 07:31:43,Dummy shake,238.610644111,230.104961929,17.0113643625
13.3674395,-2.1719437,-10.7326355,04-09-2017 07:31:44,Dummy shake,256.024824906,247.384870581,17.2799086513
13.5181885,-3.0237885,-11.553963,04-09-2017 07:31:45,Dummy shake,274.442258684,265.423129317,18.0382587358
11.5423125,-2.0343628,-9.402222,04-09-2017 07:31:46,Dummy shake,287.961366246,280.448620603,15.025491286
14.990372,1.2557678,8.866974,04-09-2017 07:31:47,Dummy shake,306.641190639,297.91033396,17.4617133576
15.467743,-0.0889892575,-0.6917495,04-09-2017 07:31:48,Dummy shake,321.135522817,313.393793198,15.4834592379
12.761459,-5.996872,-8.815979,04-09-2017 07:31:49,Dummy shake,338.337976678,330.023248851,16.6294556532
9.243408,-1.7388382,15.2378695,04-09-2017 07:31:50,Dummy shake,356.88358834,347.930141844,17.9068929923
10.9142,-3.76377105,-12.88797,04-09-2017 07:31:51,Dummy shake,373.884281898,365.23290188,17.3027600364
11.024277,-0.6955719,-19.223557,04-09-2017 07:31:52,Dummy shake,398.489753905,387.404136563,22.1712346831
9.660355,-2.2233887,9.532181,04-09-2017 07:31:53,Dummy shake,408.032730286,401.156532378,13.7523958151
14.155273,-4.554001,8.412338,04-09-2017 07:31:54,Dummy shake,426.783193227,418.240972944,17.0844405656
22.9937665,8.74650565,9.1774445,04-09-2017 07:31:55,Dummy shake,457.626761366,444.498165225,26.2571922812
17.9814,-4.0311737,4.8506317,04-09-2017 07:31:56,Dummy shake,473.081322929,463.553603694,19.0554384691
16.3638535,-5.0798263,4.5150299,04-09-2017 07:31:57,Dummy shake,490.132225199,481.272684698,17.7190810034
10.857971,-0.93963623,11.164093,04-09-2017 07:31:58,Dummy shake,504.675349113,496.874460974,15.6017762769
0.5951538,-0.42637634,20.516434,04-09-2017 07:31:59,Dummy shake,527.668699965,517.403953635,20.5294926607
0.3319397,1.7104034,15.893509,04-09-2017 07:32:00,Dummy shake,541.387039492,533.392677539,15.9887239043
14.6027375,-1.94522095,14.2322845,04-09-2017 07:32:01,Dummy shake,564.11821961,553.876372253,20.4836947138
15.5239715,4.39515675,8.290909,04-09-2017 07:32:02,Dummy shake,581.085986337,572.016114976,18.1397427224
17.9879765,5.23503875,-7.57769765,04-09-2017 07:32:04,Dummy shake,602.329271684,592.224886115,20.2087711391
