x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
4.3382936,16.002844,-11.683704,01-11-17 07:50,Cycling,10.1417546141,0,20.2835092281
-10.275913,11.204864,2.6575639,01-11-17 07:51,Cycling,23.1508860528,15.4339240352,15.4339240352
-10.7882725,10.3094325,3.1459811,01-11-17 07:52,Cycling,38.309215136,30.6841181024,15.2501940672
-11.645397,9.883265,4.261679,01-11-17 07:53,Cycling,54.4701694573,46.5414856723,15.8573675699
-11.63582,9.528923,3.2944214,01-11-17 07:54,Cycling,69.6359278433,61.937780453,15.3962947807
-11.161768,8.7915085,3.00232885,01-11-17 07:55,Cycling,83.7208414525,76.4598211193,14.5220406663
-10.726024,8.743625,3.6966474,01-11-17 07:56,Cycling,97.9451296981,90.7833601719,14.3235390525
-11.626244,9.528923,3.3518825,01-11-17 07:57,Cycling,113.885553544,106.18482242,15.4014622482
-11.90875925,9.059659,3.5529952,01-11-17 07:58,Cycling,129.253619997,121.564020805,15.3791983849
-13.4362605,8.0014219,3.1699231,01-11-17 07:59,Cycling,145.498506124,137.520344351,15.956323546
-13.139379,6.5984197,4.5777135,01-11-17 08:00,Cycling,160.619267245,152.91962628,15.3992819291
-12.61265475,6.33984615,4.70221235,01-11-17 08:01,Cycling,175.238069272,167.798588274,14.8789619945
-2.20266557,8.0397295,11.128249,01-11-17 08:02,Cycling,188.654895514,181.702793101,13.9042048263
9.342175,10.836157,2.0207062,01-11-17 09:57,Cycling,7.22464161405,0,14.4492832281
8.8872765,10.338163,5.7412958,01-11-17 09:58,Cycling,22.18903996,14.7926933067,14.7926933067
9.4283665,10.2280295,5.7365075,01-11-17 09:59,Cycling,37.3632925758,29.8397594861,15.0470661795
8.9591025,9.8688995,6.0716955,01-11-17 10:00,Cycling,51.8098279357,44.4864717859,14.6467122997
9.126697,9.77792,6.83784,01-11-17 10:01,Cycling,67.01946627,59.5084681086,15.0219963228
10.180145,9.6199025,5.7843913,01-11-17 10:02,Cycling,82.2391386409,74.6622484635,15.1537803548
13.493721,6.3206925,7.240066,01-11-17 10:03,Cycling,99.5120570246,91.2287875042,16.5665390408
14.020445,2.5474305,5.6982,01-11-17 10:04,Cycling,114.249353693,106.57583163,15.3470441255
13.599066,2.0015526,5.8226986,01-11-17 10:05,Cycling,128.967803689,121.503813003,14.9279813729
13.733141,-1.1492168,6.531382,01-11-17 10:06,Cycling,144.379615209,136.754347807,15.250534804
13.31655,-1.79086285,5.674258,01-11-17 10:07,Cycling,158.632499451,151.339782236,14.5854344296
14.867993,-6.8809359,-4.03662395,01-11-17 10:08,Cycling,176.64931329,168.212802939,16.8730207023
-11.137826,9.289502,6.2632318,01-11-17 18:01,Cycling,7.89895701968,0,15.7979140394
-12.2295825,8.12113175,4.57292515,01-11-17 18:02,Cycling,23.0642798558,15.3761865706,15.3761865706
-13.1489555,7.6135613,5.473145,01-11-17 18:03,Cycling,39.6009154824,31.5260058451,16.1498192746
-14.077906,0.36391866,3.9456444,01-11-17 18:04,Cycling,53.463370402,46.1509155497,14.6249097046
-14.528016,-0.5267244,3.9456444,01-11-17 18:05,Cycling,68.7461538478,61.2144077484,15.0634921987
-14.1162125,-0.7230489,4.11323835,01-11-17 18:06,Cycling,83.2959660213,75.935446597,14.7210388486
-14.3364805,-1.0342951,3.7062242,01-11-17 18:07,Cycling,98.2012546651,90.7793186424,14.8438720454
-14.4274595,-1.0199299,3.7253778,01-11-17 18:08,Cycling,113.182625091,105.714856275,14.9355376327
-14.762648,-1.7286136,3.5482068,01-11-17 18:09,Cycling,128.636586533,120.99600978,15.2811535051
-11.15698,6.1770406,-8.791509,01-11-17 18:10,Cycling,144.230262373,136.485511509,15.4895017283
-13.168109,4.3382936,-5.7365074,01-11-17 18:11,Cycling,158.991880764,151.489757679,15.0042461705
-15.260642,1.92972655,-3.8498764,01-11-17 18:12,Cycling,175.274696632,167.346383648,15.8566259685
-14.097059,-0.25857377,-3.0454245,01-11-17 18:13,Cycling,188.98325547,181.770964863,14.424581215
-1.4939818,-13.445837,6.215348,01-11-17 18:15,Cycling,7.44400874883,0,14.8880174977
0.9672575,-13.723564,4.6830587,01-11-17 18:16,Cycling,21.7992288424,14.5328192283,14.5328192283
0.63206923,-13.532028,5.93762,01-11-17 18:17,Cycling,36.7191642467,29.3237159072,14.790896679
0.866701,-13.6038545,5.9615622,01-11-17 18:18,Cycling,51.6407848552,44.2017618725,14.8780459653
1.0055647,-13.579912,6.0046577,01-11-17 18:19,Cycling,66.5251227278,59.0840024427,14.8822405701
1.0151415,-14.12579,5.2480903,01-11-17 18:20,Cycling,81.7390138346,74.1873433706,15.103340928
1.48919345,-14.9254535,5.0517654,01-11-17 18:21,Cycling,97.928471907,90.0147623949,15.8274190242
1.1013328,-13.8480625,4.8458643,01-11-17 18:22,Cycling,112.083844432,104.727483753,14.7127213579
-0.23942018,-14.81532,4.8937483,01-11-17 18:23,Cycling,128.134203997,120.331963915,15.6044801627
-0.6607997,-14.049175,4.711789,01-11-17 18:24,Cycling,142.581415426,135.164931589,14.8329676736
-12.899959,-2.7868507,6.5984197,01-11-17 18:25,Cycling,157.297665232,149.920087351,14.7551557621
-11.87524025,-1.2018893,8.3701295,01-11-17 18:26,Cycling,171.787439903,164.498322386,14.5782350349
-14.657303,0.86670102,-10.2328185,01-11-17 18:27,Cycling,191.343640819,182.395201341,17.8968789554
-12.0476225,0.301669405,-8.714894,01-11-17 19:02,Cycling,7.43615474832,0,14.8723094966
0.057460843,1.7286136,15.1313545,01-11-17 19:03,Cycling,22.8448225074,15.2298816716,15.2298816716
-13.4889325,0.0191536135,-6.5840545,01-11-17 19:04,Cycling,37.7449486523,30.2399263254,15.0100446538
-12.679692,-0.32561144,-7.9870567,01-11-17 19:05,Cycling,52.7236047432,45.2290452706,14.9891189452
-14.403517,0.02394202,7.8434047,01-11-17 19:06,Cycling,69.8299997862,61.6296816143,16.4006363437
-0.4405331,3.6774938,16.203957,01-11-17 19:12,Cycling,8.31093034081,0,16.6218606816
-0.08619126,1.0055647,14.288596,01-11-17 19:13,Cycling,21.4862926336,14.3241950891,14.3241950891
1.221042932,7.5752542,-3.32794037,02-11-17 09:49,Cycling,4.1818240381,0,8.36364807621
-3.4763808,14.0156565,5.31033945,02-11-17 09:50,Cycling,23.0787348061,15.3858232041,15.3858232041
-3.8833952,13.7522945,6.59363135,02-11-17 09:51,Cycling,38.9927132474,31.1237498996,15.7379266955
-3.9264908,13.493721,7.479486,02-11-17 09:52,Cycling,55.0034741718,47.0435660811,15.9198161815
-2.825158,12.708423,6.8665705,02-11-17 09:53,Cycling,69.1213711675,61.7621028053,14.7185367243
-3.01190565,13.0196685,7.431602,02-11-17 09:54,Cycling,84.6984738458,77.0530168323,15.290914027
-2.5378537,13.2159935,6.71813015,02-11-17 09:55,Cycling,99.6147550453,92.094175641,15.0411588086
-3.050213,13.2303585,6.79953285,02-11-17 09:56,Cycling,114.871458684,107.279031003,15.1848553619
