time_of_day,day_of_week,disp,velocity,aggr_acc
2,1,10,0,21
2,1,25,17,17
2,1,43,34,17
2,1,52,46,11
2,1,62,57,10
2,1,85,76,19
2,1,101,92,16
2,1,114,107,14
2,1,141,130,23
2,1,154,146,16
2,1,171,162,16
2,1,189,180,17
2,1,202,195,14
2,1,221,213,17
2,1,238,230,17
2,1,256,247,17
2,1,274,265,18
2,1,287,280,15
2,1,306,297,17
2,1,321,313,15
2,1,338,330,16
2,1,356,347,17
2,1,373,365,17
2,1,398,387,22
2,1,408,401,13
2,1,426,418,17
2,1,457,444,26
2,1,473,463,19
2,1,490,481,17
2,1,504,496,15
2,1,527,517,20
2,1,541,533,15
2,1,564,553,20
2,1,581,572,18
2,1,602,592,20
2,1,626,615,22
2,1,637,629,14
2,1,655,646,17
2,1,670,662,15
2,1,693,683,20
2,1,706,698,15
2,1,747,731,32
2,1,775,760,29
2,1,800,787,26
2,1,821,809,22
2,1,836,827,18
2,1,854,845,17
2,1,875,865,19
2,1,891,883,17
2,1,906,898,15
2,1,914,909,10
2,1,933,925,15
2,1,952,943,18
2,1,964,957,14
2,1,981,973,16
2,1,1001,992,18
2,1,1016,1008,16
2,1,1032,1024,16
2,1,1047,1039,14
2,1,1062,1054,14
2,1,1075,1068,13
2,1,1102,1090,22
2,1,1125,1113,22
2,1,1134,1127,13
2,1,1155,1145,18
2,1,1172,1163,17
2,1,1189,1181,17
2,1,1207,1198,17
2,1,1222,1214,15
2,1,1237,1229,15
2,1,1255,1246,17
2,1,1272,1264,17
2,1,1288,1280,16
2,1,1305,1297,16
2,1,1321,1313,16
2,1,1336,1328,15
2,1,1350,1343,14
2,1,1367,1359,16
2,1,1381,1374,15
2,1,1398,1390,15
2,1,1414,1406,16
2,1,1430,1422,16
2,1,1447,1438,16
2,1,1461,1454,15
2,1,1476,1469,15
2,1,1493,1485,15
2,1,1508,1500,15
2,1,1522,1515,14
2,1,1536,1529,14
2,1,1552,1544,15
2,1,1566,1558,14
2,1,1582,1574,15
2,1,1597,1589,15
2,1,1613,1605,15
2,1,1629,1621,15
2,1,1644,1636,15
2,1,1661,1653,16
2,1,1676,1668,15
2,1,1690,1683,14
2,1,1711,1701,18
2,1,10,0,21
2,1,27,18,18
2,1,43,35,17
2,1,55,48,13
2,1,113,91,43
2,1,115,107,15
2,1,131,123,15
2,1,151,141,18
2,1,169,160,18
2,1,192,182,21
2,1,216,204,22
2,1,231,222,17
2,1,271,255,32
2,1,284,274,19
2,1,320,305,30
2,1,348,333,28
2,1,365,355,21
2,1,377,370,15
2,1,7,0,15
2,1,24,16,16
2,1,39,31,15
2,1,52,45,14
2,1,69,61,15
2,1,82,75,14
2,1,100,91,16
2,1,115,107,15
2,1,128,121,14
2,1,147,138,17
2,1,164,155,17
2,1,177,170,14
2,1,197,188,18
2,1,217,208,19
2,1,229,222,14
2,1,246,238,16
2,1,260,252,14
2,1,276,268,15
2,1,290,283,14
2,1,306,298,15
2,1,320,313,14
2,1,343,333,19
2,1,356,348,15
2,1,369,362,14
2,1,384,377,14
2,1,409,398,21
2,1,421,414,15
2,1,436,428,14
2,1,452,444,15
2,1,465,458,13
2,1,482,474,15
2,1,496,489,14
2,1,510,503,14
2,1,527,519,15
2,1,540,533,13
2,1,555,548,15
2,1,569,562,14
3,1,8,0,16
3,1,35,23,23
3,1,61,49,25
3,1,86,73,24
3,1,76,75,2
3,1,116,103,27
3,1,127,119,16
3,1,141,134,14
3,1,157,149,15
3,1,7,0,14
3,1,21,14,14
3,1,36,29,14
3,1,50,43,14
3,1,65,58,14
3,1,80,72,14
3,1,95,87,14
3,1,109,102,14
3,1,123,116,14
3,1,138,131,14
3,1,152,145,14
3,1,166,159,14
3,1,181,174,14
3,1,195,188,14
3,1,209,202,13
3,1,224,217,14
3,1,239,231,14
3,1,253,246,14
3,1,270,262,16
3,1,284,276,14
3,1,297,290,13
3,1,312,304,14
3,1,327,319,14
3,1,343,335,15
3,1,358,350,15
3,1,372,365,14
3,1,391,382,17
3,1,406,398,16
3,1,420,412,14
3,1,434,427,14
3,1,448,441,14
3,1,464,456,15
3,1,478,471,14
3,1,493,486,14
3,1,507,500,14
3,1,522,514,14
3,1,535,528,14
3,1,550,543,14
3,1,564,557,14
3,1,582,573,16
3,1,595,587,14
3,1,609,602,14
3,1,626,618,16
3,1,640,633,14
3,1,654,647,14
3,1,668,661,14
3,1,682,675,14
3,1,700,692,16
3,1,714,706,14
3,1,728,721,14
3,1,745,737,16
3,1,759,752,15
3,1,774,767,15
3,1,788,781,14
3,1,802,795,13
3,1,816,809,14
3,1,831,824,14
3,1,846,839,14
3,1,860,853,13
3,1,875,867,14
3,1,889,882,14
3,1,905,898,15
3,1,919,912,14
3,1,934,927,14
3,1,949,942,14
3,1,964,957,14
3,1,978,971,14
3,1,993,985,14
3,1,1007,1000,14
3,1,1026,1017,17
3,1,1040,1032,15
3,1,1054,1046,14
3,1,1068,1061,14
3,1,1085,1077,16
3,1,1103,1094,17
3,1,1118,1110,16
3,1,1134,1126,15
3,1,1148,1141,14
3,1,1161,1154,13
3,1,1176,1169,14
