time_of_day,day_of_week,disp,velocity,acc
4,4,7,0,14
4,4,23,15,15
4,4,38,30,15
4,4,53,46,15
4,4,72,64,17
4,4,88,80,16
4,4,104,96,15
4,4,117,110,14
4,4,136,127,17
4,4,152,143,16
4,4,168,160,16
4,4,185,176,16
4,4,199,192,15
4,4,215,207,15
4,4,232,224,16
4,4,247,239,15
4,4,263,255,15
4,4,278,271,15
4,4,297,288,17
4,4,313,305,16
4,4,330,322,16
4,4,345,337,15
4,4,362,353,16
4,4,376,368,15
4,4,391,384,15
4,4,409,401,16
4,4,422,415,14
4,4,436,429,13
4,4,450,443,14
4,4,466,458,15
4,4,482,474,15
4,4,496,489,14
4,4,510,503,14
4,4,525,518,14
4,4,540,532,14
4,4,554,547,14
4,4,568,561,14
4,4,583,576,14
4,4,599,591,15
4,4,614,606,14
4,4,627,620,14
4,4,642,634,14
4,4,656,649,14
4,4,671,663,14
4,4,685,678,14
4,4,699,692,14
4,4,713,706,14
4,4,727,720,14
4,4,743,735,14
4,4,756,749,14
4,4,771,764,14
4,4,786,779,14
4,4,801,794,15
4,4,814,808,13
4,4,829,822,14
4,4,843,836,14
4,4,856,850,13
4,4,873,865,15
4,4,890,882,16
4,4,904,897,14
4,4,920,912,15
4,4,936,928,15
4,4,951,943,15
4,4,964,957,14
4,4,979,972,14
4,4,993,986,14
4,4,1008,1000,14
4,4,1022,1015,14
4,4,1037,1030,15
4,4,1052,1045,14
4,4,1068,1060,15
4,4,1087,1078,17
4,4,1102,1094,15
4,4,1115,1108,13
4,4,1130,1123,14
4,4,1149,1140,17
4,4,1163,1155,15
4,4,1180,1172,16
4,4,1197,1189,16
4,4,1214,1206,16
4,4,1232,1223,17
4,4,1246,1239,15
4,4,1260,1253,14
4,4,1275,1268,14
4,4,1289,1282,14
4,4,1308,1300,17
4,4,1325,1316,16
4,4,1342,1334,17
4,4,1359,1350,16
4,4,1374,1366,15
4,4,1388,1381,14
4,4,1403,1395,14
4,4,1417,1410,14
4,4,1433,1425,15
4,4,1449,1441,15
4,4,1464,1456,15
4,4,1479,1472,15
4,4,1495,1487,15
4,4,1511,1503,15
4,4,1524,1517,14
4,4,1539,1532,14
4,4,1556,1548,16
4,4,1572,1564,15
4,4,1586,1579,14
4,4,1601,1593,14
4,4,1620,1611,18
4,4,1634,1626,14
4,4,1650,1642,15
4,4,1663,1656,14
4,4,1679,1672,15
4,4,1700,1691,18
4,4,1711,1705,13
4,4,1725,1718,13
4,4,1743,1735,16
4,4,1757,1750,14
4,4,1774,1766,16
4,4,1789,1781,15
4,4,1802,1795,14
4,4,1817,1810,14
4,4,1835,1827,16
4,4,1847,1840,13
4,4,1863,1855,15
4,4,1878,1870,15
4,4,1893,1886,15
4,4,1907,1900,14
4,4,1921,1914,13
4,4,1935,1928,13
4,4,1951,1943,15
4,4,1965,1958,14
4,4,1980,1973,14
4,4,1995,1987,14
4,4,2009,2002,14
4,4,2023,2016,13
4,4,2038,2031,15
4,4,2053,2046,15
4,4,2067,2060,14
4,4,2083,2076,15
4,4,2100,2092,16
4,4,2114,2107,14
4,4,2131,2123,16
4,4,2145,2138,14
4,4,2160,2153,14
4,4,2176,2169,15
4,4,2190,2183,14
4,4,2214,2203,20
4,4,2229,2220,16
4,4,2243,2235,14
4,4,2261,2252,16
4,4,2274,2267,14
4,4,2288,2281,14
4,4,2303,2295,14
4,4,2317,2310,14
4,4,2339,2329,19
4,4,2358,2348,19
4,4,2370,2363,14
4,4,2388,2379,16
4,4,2403,2395,15
4,4,2418,2410,15
4,4,2434,2426,15
4,4,2449,2441,15
4,4,2465,2457,15
4,4,2478,2471,13
4,4,2495,2487,15
4,4,2509,2502,14
4,4,2523,2516,14
4,4,2540,2532,16
4,4,2555,2547,15
4,4,2568,2561,14
4,4,2584,2576,15
4,4,2599,2592,15
4,4,2613,2606,14
4,4,2627,2620,14
4,4,2642,2635,14
4,4,2656,2649,14
4,4,2670,2663,14
4,4,2684,2677,13
4,4,2699,2691,14
4,4,2713,2706,14
4,4,2728,2721,14
4,4,2742,2735,14
4,4,2756,2749,13
4,4,2772,2764,15
4,4,2787,2779,15
4,4,2801,2793,14
4,4,2815,2808,14
4,4,2830,2822,14
4,4,2845,2837,14
4,4,2858,2851,13
4,4,2873,2866,14
4,4,2887,2880,14
4,4,2901,2894,14
4,4,2916,2909,14
4,4,2930,2923,14
4,4,2946,2938,15
4,4,2962,2954,15
4,4,2975,2968,14
4,4,2990,2983,14
4,4,3005,2997,14
4,4,3018,3011,13
4,4,3033,3026,14
4,4,3047,3040,14
4,4,3061,3054,13
4,4,3075,3068,14
4,4,3090,3083,14
4,4,3106,3098,15
4,4,3120,3113,14
4,4,3135,3128,14
4,4,3149,3142,14
4,4,3164,3156,14
4,4,3178,3171,14
4,4,3192,3185,14
4,4,3208,3200,15
4,4,3223,3215,14
4,4,3237,3230,14
4,4,3251,3244,14
4,4,3265,3258,14
4,4,3280,3273,14
4,4,3295,3288,14
4,4,3309,3302,14
4,4,3324,3317,14
4,4,3339,3332,14
4,4,3353,3346,14
4,4,3368,3361,14
4,4,3382,3375,14
4,4,3397,3390,14
4,4,3413,3405,15
4,4,3434,3424,18
4,4,3445,3438,14
4,4,3460,3453,14
4,4,3474,3467,13
4,4,3489,3481,14
4,4,3504,3496,14
4,4,3518,3511,14
4,4,3532,3525,14
4,4,3547,3539,14
4,4,3561,3554,14
4,4,3576,3568,14
4,4,3591,3583,15
4,4,3605,3598,14
4,4,3620,3612,14
4,4,3634,3626,14
4,4,3648,3641,14
4,4,3663,3655,14
4,4,3677,3670,14
4,4,3693,3685,15
4,4,3707,3700,14
4,4,3724,3716,16
4,4,3737,3730,14
4,4,3753,3745,15
4,4,3766,3759,13
4,4,3781,3774,14
4,4,3796,3789,15
4,4,3810,3803,14
4,4,3825,3818,14
4,4,3839,3832,14
4,4,3853,3846,14
4,4,3867,3860,14
4,4,3882,3875,14
4,4,3897,3890,14
4,4,3913,3905,15
4,4,3927,3920,14
4,4,3942,3935,14
4,4,3956,3949,14
4,4,3972,3964,14
4,4,3987,3979,15
4,4,4003,3995,15
4,4,4020,4012,16
4,4,4033,4026,14
4,4,4055,4045,19
4,4,4067,4059,14
4,4,4080,4073,13
4,4,4097,4089,16
4,4,4111,4104,14
4,4,4125,4118,14
4,4,4139,4132,14
4,4,4153,4146,14
4,4,4167,4160,13
4,4,4182,4174,14
4,4,4197,4189,14
4,4,4211,4204,14
4,4,4225,4218,14
4,4,4240,4232,14
4,4,4254,4247,14
4,4,4268,4261,14
4,4,4282,4275,14
4,4,4296,4289,14
4,4,4310,4303,14
4,4,4324,4317,14
4,4,4338,4331,13
4,4,4353,4345,14
4,4,4367,4360,14
4,4,4381,4374,14
4,4,4397,4389,15
4,4,4410,4403,14
4,4,4427,4419,16
