x-value,y-value,z-value,timestamp,travel_mode
7.5098114,4.8486023,12.6745605,07-09-2017 09:57:28,Biking
10.446396,8.637634,13.588013,07-09-2017 09:57:29,Biking
2.1959534,8.418686,11.490707,07-09-2017 09:57:30,Biking
0.613098145,15.056381,-0.32444763,07-09-2017 10:01:37,Biking
0.8751068,14.695068,0.36528015,07-09-2017 10:01:38,Biking
0.7411194,15.651001,1.7590942,07-09-2017 10:01:39,Biking
0.951087955,16.023674,1.3828278,07-09-2017 10:01:40,Biking
-0.2848129125,14.6340485,1.56108855,07-09-2017 10:01:47,Biking
1.2543793,17.936142,0.9898071,07-09-2017 10:01:48,Biking
-0.3314743,16.8282625,1.93377687,07-09-2017 10:01:56,Biking
0.46594238,15.082703,0.8725586,07-09-2017 10:02:03,Biking
0.05317688,16.122375,0.8964844,07-09-2017 10:02:05,Biking
1.6324463,14.193771,-0.07858276,07-09-2017 10:02:06,Biking
-1.3011627,-15.630371,-0.89334106,07-09-2017 10:08:37,Walk
-3.9189148,-13.559387,0.37843323,07-09-2017 10:08:38,Walk
-3.0227966,-14.225784,0.86299133,07-09-2017 10:08:39,Walk
-5.0806274,-14.503357,0.46817017,07-09-2017 10:08:40,Walk
-2.0477142,-19.966171,1.04245,07-09-2017 10:08:45,Walk
-2.03456115,-13.8746415,3.6428451,07-09-2017 10:08:46,Walk
-2.92289735,-14.777931,0.81452944,07-09-2017 10:08:47,Walk
-1.0977631,-13.297379,3.973648,07-09-2017 10:08:48,Walk
-2.4604797,-13.491196,2.0342712,07-09-2017 10:08:55,Walk
-3.77294925,-14.380722,1.16628267,07-09-2017 10:08:56,Walk
-2.9456253,-14.3328705,0.928192151,07-09-2017 10:08:57,Walk
-1.8263855,-13.944626,3.5585022,07-09-2017 10:12:02,Walk
-1.594284,-13.607239,2.600174,07-09-2017 10:12:04,Walk
-11.776932,8.0466,10.452225,07-09-2017 10:12:15,Walk
0.028045654,3.203537,14.085724,07-09-2017 10:12:16,Walk
8.4968567,1.37242125,11.6055605,07-09-2017 10:12:19,Walk
