x-value,y-value,z-value,timestamp,travel_mode
4.3382936,16.002844,-11.683704,01-11-17 07:50,Cycling
-10.275913,11.204864,2.6575639,01-11-17 07:51,Cycling
-10.7882725,10.3094325,3.1459811,01-11-17 07:52,Cycling
-11.645397,9.883265,4.261679,01-11-17 07:53,Cycling
-11.63582,9.528923,3.2944214,01-11-17 07:54,Cycling
-11.161768,8.7915085,3.00232885,01-11-17 07:55,Cycling
-10.726024,8.743625,3.6966474,01-11-17 07:56,Cycling
-11.626244,9.528923,3.3518825,01-11-17 07:57,Cycling
-11.90875925,9.059659,3.5529952,01-11-17 07:58,Cycling
-13.4362605,8.0014219,3.1699231,01-11-17 07:59,Cycling
-13.139379,6.5984197,4.5777135,01-11-17 08:00,Cycling
-12.61265475,6.33984615,4.70221235,01-11-17 08:01,Cycling
-2.20266557,8.0397295,11.128249,01-11-17 08:02,Cycling
9.342175,10.836157,2.0207062,01-11-17 09:57,Cycling
8.8872765,10.338163,5.7412958,01-11-17 09:58,Cycling
9.4283665,10.2280295,5.7365075,01-11-17 09:59,Cycling
8.9591025,9.8688995,6.0716955,01-11-17 10:00,Cycling
9.126697,9.77792,6.83784,01-11-17 10:01,Cycling
10.180145,9.6199025,5.7843913,01-11-17 10:02,Cycling
13.493721,6.3206925,7.240066,01-11-17 10:03,Cycling
14.020445,2.5474305,5.6982,01-11-17 10:04,Cycling
13.599066,2.0015526,5.8226986,01-11-17 10:05,Cycling
13.733141,-1.1492168,6.531382,01-11-17 10:06,Cycling
13.31655,-1.79086285,5.674258,01-11-17 10:07,Cycling
14.867993,-6.8809359,-4.03662395,01-11-17 10:08,Cycling
-11.137826,9.289502,6.2632318,01-11-17 18:01,Cycling
-12.2295825,8.12113175,4.57292515,01-11-17 18:02,Cycling
-13.1489555,7.6135613,5.473145,01-11-17 18:03,Cycling
-14.077906,0.36391866,3.9456444,01-11-17 18:04,Cycling
-14.528016,-0.5267244,3.9456444,01-11-17 18:05,Cycling
-14.1162125,-0.7230489,4.11323835,01-11-17 18:06,Cycling
-14.3364805,-1.0342951,3.7062242,01-11-17 18:07,Cycling
